"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jan 15 21:07:23 UTC 2026","Thu Jan 15 21:07:23 UTC 2026","4","tests","test_auth","TestAuth","","","test_registration_validation_error_model_email_is_empty",""
"passed","Thu Jan 15 21:07:58 UTC 2026","Thu Jan 15 21:07:58 UTC 2026","10","tests","test_teacher_create","TestTeacher","","","test_create_teacher_expect_validation_error",""
"passed","Thu Jan 15 21:07:58 UTC 2026","Thu Jan 15 21:07:58 UTC 2026","8","tests","test_teacher_create","TestTeacher","","","test_create_teacher_missing_required_field_validation[subject]",""
"passed","Thu Jan 15 21:07:33 UTC 2026","Thu Jan 15 21:07:33 UTC 2026","3","tests.test_contract","test_grade_contract","TestGradeContract","","","test_get_stats_anonym",""
"passed","Thu Jan 15 21:07:27 UTC 2026","Thu Jan 15 21:07:27 UTC 2026","199","tests.test_contract","test_grade_contract","TestGradeContract","","","test_create_grade_admin",""
"passed","Thu Jan 15 21:07:42 UTC 2026","Thu Jan 15 21:07:42 UTC 2026","11","tests.test_contract","test_student_contract","TestStudentContract","","","test_get_all_students_admin",""
"passed","Thu Jan 15 21:07:50 UTC 2026","Thu Jan 15 21:07:50 UTC 2026","5","tests.test_contract","test_user_contract","TestUserContract","","","test_get_current_user_info_success",""
"passed","Thu Jan 15 21:07:35 UTC 2026","Thu Jan 15 21:07:35 UTC 2026","60","tests.test_contract","test_group_contract","TestGroupContract","","","test_create_group_fails_if_already_exists",""
"passed","Thu Jan 15 21:07:32 UTC 2026","Thu Jan 15 21:07:32 UTC 2026","265","tests.test_contract","test_grade_contract","TestGradeContract","","","test_update_grade_fails_on_grade_not_exists",""
"passed","Thu Jan 15 21:07:31 UTC 2026","Thu Jan 15 21:07:31 UTC 2026","269","tests.test_contract","test_grade_contract","TestGradeContract","","","test_update_grade_teacher_successfully",""
"passed","Thu Jan 15 21:07:38 UTC 2026","Thu Jan 15 21:07:38 UTC 2026","3","tests.test_contract","test_group_contract","TestGroupContract","","","test_update_group_anonym",""
"passed","Thu Jan 15 21:07:24 UTC 2026","Thu Jan 15 21:07:24 UTC 2026","3","tests.test_contract","test_auth_contract","TestAuthContract","","","test_register_should_fail_when_required_field_is_missing[email]",""
"passed","Thu Jan 15 21:07:43 UTC 2026","Thu Jan 15 21:07:44 UTC 2026","162","tests.test_contract","test_student_contract","TestStudentContract","","","test_delete_student_fails_on_student_not_found",""
"passed","Thu Jan 15 21:07:26 UTC 2026","Thu Jan 15 21:07:26 UTC 2026","303","tests.test_contract","test_auth_contract","TestAuthContract","","","test_login_should_fail_when_required_field_is_missing[password]",""
"passed","Thu Jan 15 21:07:24 UTC 2026","Thu Jan 15 21:07:24 UTC 2026","4","tests.test_contract","test_auth_contract","TestAuthContract","","","test_register_password_too_long",""
"passed","Thu Jan 15 21:07:41 UTC 2026","Thu Jan 15 21:07:41 UTC 2026","62","tests.test_contract","test_student_contract","TestStudentContract","","","test_create_student_admin",""
"passed","Thu Jan 15 21:07:24 UTC 2026","Thu Jan 15 21:07:25 UTC 2026","561","tests.test_contract","test_auth_contract","TestAuthContract","","","test_login_invalid_password",""
"passed","Thu Jan 15 21:07:25 UTC 2026","Thu Jan 15 21:07:25 UTC 2026","305","tests.test_contract","test_auth_contract","TestAuthContract","","","test_login_invalid_username",""
"passed","Thu Jan 15 21:07:28 UTC 2026","Thu Jan 15 21:07:28 UTC 2026","220","tests.test_contract","test_grade_contract","TestGradeContract","","","test_create_grade_fails_on_teacher_not_found",""
"passed","Thu Jan 15 21:07:49 UTC 2026","Thu Jan 15 21:07:49 UTC 2026","60","tests.test_contract","test_teacher_contract","TestTeacherContract","","","test_update_teacher_subject_successfully",""
"passed","Thu Jan 15 21:07:55 UTC 2026","Thu Jan 15 21:07:55 UTC 2026","63","tests","test_student_create","TestStudent","","","test_student_create",""
"passed","Thu Jan 15 21:07:40 UTC 2026","Thu Jan 15 21:07:40 UTC 2026","9","tests.test_contract","test_group_contract","TestGroupContract","","","test_update_group_fails_on_invalid_group_id_type",""
"passed","Thu Jan 15 21:07:32 UTC 2026","Thu Jan 15 21:07:32 UTC 2026","3","tests.test_contract","test_grade_contract","TestGradeContract","","","test_get_grade_anonym",""
"passed","Thu Jan 15 21:07:29 UTC 2026","Thu Jan 15 21:07:29 UTC 2026","219","tests.test_contract","test_grade_contract","TestGradeContract","","","test_delete_grade_admin",""
"passed","Thu Jan 15 21:07:56 UTC 2026","Thu Jan 15 21:07:56 UTC 2026","11","tests","test_teacher_create","TestTeacher","","","test_create_teacher_returns_matching_details",""
"passed","Thu Jan 15 21:07:34 UTC 2026","Thu Jan 15 21:07:34 UTC 2026","3","tests.test_contract","test_group_contract","TestGroupContract","","","test_create_group_anonym",""
"passed","Thu Jan 15 21:07:46 UTC 2026","Thu Jan 15 21:07:46 UTC 2026","3","tests.test_contract","test_teacher_contract","TestTeacherContract","","","test_create_teacher_anonym",""
"passed","Thu Jan 15 21:07:50 UTC 2026","Thu Jan 15 21:07:50 UTC 2026","44","tests.test_contract","test_user_contract","TestUserContract","","","test_get_me_invalid_jwt_token",""
"passed","Thu Jan 15 21:07:41 UTC 2026","Thu Jan 15 21:07:42 UTC 2026","110","tests.test_contract","test_student_contract","TestStudentContract","","","test_create_student_fails_on_group_not_found",""
"passed","Thu Jan 15 21:07:44 UTC 2026","Thu Jan 15 21:07:44 UTC 2026","3","tests.test_contract","test_student_contract","TestStudentContract","","","test_update_student_anonym",""
"passed","Thu Jan 15 21:07:23 UTC 2026","Thu Jan 15 21:07:24 UTC 2026","304","tests.test_contract","test_auth_contract","TestAuthContract","","","test_register_existing_name",""
"passed","Thu Jan 15 21:07:42 UTC 2026","Thu Jan 15 21:07:42 UTC 2026","3","tests.test_contract","test_student_contract","TestStudentContract","","","test_get_all_students_anonym",""
"passed","Thu Jan 15 21:07:24 UTC 2026","Thu Jan 15 21:07:24 UTC 2026","3","tests.test_contract","test_auth_contract","TestAuthContract","","","test_register_password_too_short",""
"passed","Thu Jan 15 21:07:51 UTC 2026","Thu Jan 15 21:07:51 UTC 2026","166","tests","test_grade_create","TestGrade","","","test_create_grade",""
"passed","Thu Jan 15 21:07:34 UTC 2026","Thu Jan 15 21:07:34 UTC 2026","12","tests.test_contract","test_group_contract","TestGroupContract","","","test_create_group_admin",""
"passed","Thu Jan 15 21:07:39 UTC 2026","Thu Jan 15 21:07:39 UTC 2026","63","tests.test_contract","test_group_contract","TestGroupContract","","","test_update_group_admin",""
"passed","Thu Jan 15 21:07:40 UTC 2026","Thu Jan 15 21:07:40 UTC 2026","3","tests.test_contract","test_student_contract","TestStudentContract","","","test_create_student_anonym",""
"passed","Thu Jan 15 21:07:55 UTC 2026","Thu Jan 15 21:07:55 UTC 2026","50","tests","test_grade_create","TestGrade","","","test_statistics_avg_grade",""
"passed","Thu Jan 15 21:07:24 UTC 2026","Thu Jan 15 21:07:24 UTC 2026","3","tests.test_contract","test_auth_contract","TestAuthContract","","","test_register_should_fail_when_required_field_is_missing[username]",""
"passed","Thu Jan 15 21:07:22 UTC 2026","Thu Jan 15 21:07:22 UTC 2026","602","tests","test_auth","TestAuth","","","test_successful_login_after_registration",""
"passed","Thu Jan 15 21:07:25 UTC 2026","Thu Jan 15 21:07:26 UTC 2026","303","tests.test_contract","test_auth_contract","TestAuthContract","","","test_login_should_fail_when_required_field_is_missing[username]",""
"passed","Thu Jan 15 21:07:36 UTC 2026","Thu Jan 15 21:07:36 UTC 2026","2","tests.test_contract","test_group_contract","TestGroupContract","","","test_delete_group_anonym",""
"passed","Thu Jan 15 21:07:36 UTC 2026","Thu Jan 15 21:07:36 UTC 2026","9","tests.test_contract","test_group_contract","TestGroupContract","","","test_create_group_fails_on_invalid_name_type",""
"passed","Thu Jan 15 21:07:30 UTC 2026","Thu Jan 15 21:07:30 UTC 2026","265","tests.test_contract","test_grade_contract","TestGradeContract","","","test_delete_grade_fails_on_grade_not_exists",""
"passed","Thu Jan 15 21:07:47 UTC 2026","Thu Jan 15 21:07:47 UTC 2026","11","tests.test_contract","test_teacher_contract","TestTeacherContract","","","test_create_group_admin",""
"passed","Thu Jan 15 21:07:43 UTC 2026","Thu Jan 15 21:07:43 UTC 2026","114","tests.test_contract","test_student_contract","TestStudentContract","","","test_delete_student_admin",""
"passed","Thu Jan 15 21:07:24 UTC 2026","Thu Jan 15 21:07:24 UTC 2026","3","tests.test_contract","test_auth_contract","TestAuthContract","","","test_register_should_fail_when_required_field_is_missing[password]",""
"passed","Thu Jan 15 21:07:22 UTC 2026","Thu Jan 15 21:07:23 UTC 2026","666","tests","test_auth","TestAuth","","","test_complete_user_lifecycle_registration_login_get_user_info",""
"passed","Thu Jan 15 21:07:52 UTC 2026","Thu Jan 15 21:07:52 UTC 2026","50","tests","test_grade_create","TestGrade","","","test_statistics_count",""
"passed","Thu Jan 15 21:07:42 UTC 2026","Thu Jan 15 21:07:42 UTC 2026","3","tests.test_contract","test_student_contract","TestStudentContract","","","test_delete_student_anonym",""
"passed","Thu Jan 15 21:07:38 UTC 2026","Thu Jan 15 21:07:38 UTC 2026","9","tests.test_contract","test_group_contract","TestGroupContract","","","test_delete_group_fails_on_invalid_group_id_type",""
"passed","Thu Jan 15 21:07:24 UTC 2026","Thu Jan 15 21:07:24 UTC 2026","304","tests.test_contract","test_auth_contract","TestAuthContract","","","test_register_existing_email",""
"passed","Thu Jan 15 21:07:32 UTC 2026","Thu Jan 15 21:07:33 UTC 2026","164","tests.test_contract","test_grade_contract","TestGradeContract","","","test_get_grade_admin",""
"passed","Thu Jan 15 21:07:23 UTC 2026","Thu Jan 15 21:07:23 UTC 2026","260","tests.test_contract","test_auth_contract","TestAuthContract","","","test_register_valid_data",""
"passed","Thu Jan 15 21:07:57 UTC 2026","Thu Jan 15 21:07:57 UTC 2026","9","tests","test_teacher_create","TestTeacher","","","test_create_teacher_missing_required_field_validation[first_name]",""
"passed","Thu Jan 15 21:07:57 UTC 2026","Thu Jan 15 21:07:57 UTC 2026","8","tests","test_teacher_create","TestTeacher","","","test_create_teacher_missing_required_field_validation[last_name]",""
"passed","Thu Jan 15 21:07:45 UTC 2026","Thu Jan 15 21:07:45 UTC 2026","167","tests.test_contract","test_student_contract","TestStudentContract","","","test_update_student_admin",""
"passed","Thu Jan 15 21:07:24 UTC 2026","Thu Jan 15 21:07:24 UTC 2026","4","tests.test_contract","test_auth_contract","TestAuthContract","","","test_register_password_mismatch",""
"passed","Thu Jan 15 21:07:44 UTC 2026","Thu Jan 15 21:07:44 UTC 2026","3","tests.test_contract","test_student_contract","TestStudentContract","","","test_get_student_anonym",""
"passed","Thu Jan 15 21:07:24 UTC 2026","Thu Jan 15 21:07:24 UTC 2026","596","tests.test_contract","test_auth_contract","TestAuthContract","","","test_login_valid_data",""
"passed","Thu Jan 15 21:07:48 UTC 2026","Thu Jan 15 21:07:48 UTC 2026","58","tests.test_contract","test_teacher_contract","TestTeacherContract","","","test_get_teacher_admin",""
"passed","Thu Jan 15 21:07:44 UTC 2026","Thu Jan 15 21:07:44 UTC 2026","110","tests.test_contract","test_student_contract","TestStudentContract","","","test_get_student_admin",""
"passed","Thu Jan 15 21:07:50 UTC 2026","Thu Jan 15 21:07:50 UTC 2026","3","tests.test_contract","test_user_contract","TestUserContract","","","test_get_me_without_token",""
"passed","Thu Jan 15 21:07:33 UTC 2026","Thu Jan 15 21:07:34 UTC 2026","423","tests.test_contract","test_grade_contract","TestGradeContract","","","test_get_stats_admin",""
