"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jan 10 19:39:56 UTC 2026","Sat Jan 10 19:39:56 UTC 2026","218","tests.test_contract","test_grade_contract","TestGradeContract","","","test_delete_grade_admin",""
"passed","Sat Jan 10 19:39:52 UTC 2026","Sat Jan 10 19:39:53 UTC 2026","303","tests.test_contract","test_auth_contract","TestAuthContract","","","test_login_should_fail_when_required_field_is_missing[username]",""
"passed","Sat Jan 10 19:39:58 UTC 2026","Sat Jan 10 19:39:58 UTC 2026","268","tests.test_contract","test_grade_contract","TestGradeContract","","","test_update_grade_teacher_successfully",""
"passed","Sat Jan 10 19:40:24 UTC 2026","Sat Jan 10 19:40:24 UTC 2026","10","tests","test_teacher_create","TestTeacher","","","test_create_teacher_missing_required_field_validation[first_name]",""
"passed","Sat Jan 10 19:40:01 UTC 2026","Sat Jan 10 19:40:01 UTC 2026","12","tests.test_contract","test_group_contract","TestGroupContract","","","test_create_group_admin",""
"passed","Sat Jan 10 19:39:51 UTC 2026","Sat Jan 10 19:39:51 UTC 2026","3","tests.test_contract","test_auth_contract","TestAuthContract","","","test_register_should_fail_when_required_field_is_missing[password]",""
"passed","Sat Jan 10 19:39:51 UTC 2026","Sat Jan 10 19:39:51 UTC 2026","3","tests.test_contract","test_auth_contract","TestAuthContract","","","test_register_password_mismatch",""
"passed","Sat Jan 10 19:40:09 UTC 2026","Sat Jan 10 19:40:09 UTC 2026","3","tests.test_contract","test_student_contract","TestStudentContract","","","test_delete_student_anonym",""
"passed","Sat Jan 10 19:40:17 UTC 2026","Sat Jan 10 19:40:17 UTC 2026","44","tests.test_contract","test_user_contract","TestUserContract","","","test_get_me_invalid_jwt_token",""
"passed","Sat Jan 10 19:40:25 UTC 2026","Sat Jan 10 19:40:25 UTC 2026","10","tests","test_teacher_create","TestTeacher","","","test_create_teacher_expect_validation_error",""
"passed","Sat Jan 10 19:39:50 UTC 2026","Sat Jan 10 19:39:50 UTC 2026","3","tests","test_auth","TestAuth","","","test_registration_validation_error_model_email_is_empty",""
"passed","Sat Jan 10 19:40:04 UTC 2026","Sat Jan 10 19:40:04 UTC 2026","64","tests.test_contract","test_group_contract","TestGroupContract","","","test_delete_group_admin",""
"passed","Sat Jan 10 19:40:08 UTC 2026","Sat Jan 10 19:40:08 UTC 2026","3","tests.test_contract","test_student_contract","TestStudentContract","","","test_get_all_students_anonym",""
"passed","Sat Jan 10 19:40:11 UTC 2026","Sat Jan 10 19:40:11 UTC 2026","3","tests.test_contract","test_student_contract","TestStudentContract","","","test_get_student_anonym",""
"passed","Sat Jan 10 19:40:23 UTC 2026","Sat Jan 10 19:40:23 UTC 2026","13","tests","test_teacher_create","TestTeacher","","","test_create_teacher_returns_matching_details",""
"passed","Sat Jan 10 19:40:15 UTC 2026","Sat Jan 10 19:40:15 UTC 2026","61","tests.test_contract","test_teacher_contract","TestTeacherContract","","","test_delete_teacher_admin",""
"passed","Sat Jan 10 19:39:57 UTC 2026","Sat Jan 10 19:39:57 UTC 2026","265","tests.test_contract","test_grade_contract","TestGradeContract","","","test_delete_grade_fails_on_grade_not_exists",""
"passed","Sat Jan 10 19:40:06 UTC 2026","Sat Jan 10 19:40:06 UTC 2026","160","tests.test_contract","test_group_contract","TestGroupContract","","","test_update_group_fails_on_group_not_exists",""
"passed","Sat Jan 10 19:39:49 UTC 2026","Sat Jan 10 19:39:49 UTC 2026","602","tests","test_auth","TestAuth","","","test_successful_login_after_registration",""
"passed","Sat Jan 10 19:40:08 UTC 2026","Sat Jan 10 19:40:08 UTC 2026","109","tests.test_contract","test_student_contract","TestStudentContract","","","test_create_student_fails_on_group_not_found",""
"passed","Sat Jan 10 19:40:05 UTC 2026","Sat Jan 10 19:40:05 UTC 2026","10","tests.test_contract","test_group_contract","TestGroupContract","","","test_delete_group_fails_on_invalid_group_id_type",""
"passed","Sat Jan 10 19:40:15 UTC 2026","Sat Jan 10 19:40:15 UTC 2026","60","tests.test_contract","test_teacher_contract","TestTeacherContract","","","test_get_teacher_admin",""
"passed","Sat Jan 10 19:39:51 UTC 2026","Sat Jan 10 19:39:51 UTC 2026","306","tests.test_contract","test_auth_contract","TestAuthContract","","","test_register_existing_email",""
"passed","Sat Jan 10 19:40:02 UTC 2026","Sat Jan 10 19:40:02 UTC 2026","9","tests.test_contract","test_group_contract","TestGroupContract","","","test_create_group_fails_on_invalid_name_type",""
"passed","Sat Jan 10 19:39:53 UTC 2026","Sat Jan 10 19:39:53 UTC 2026","304","tests.test_contract","test_auth_contract","TestAuthContract","","","test_login_should_fail_when_required_field_is_missing[password]",""
"passed","Sat Jan 10 19:39:51 UTC 2026","Sat Jan 10 19:39:51 UTC 2026","3","tests.test_contract","test_auth_contract","TestAuthContract","","","test_register_password_too_long",""
"passed","Sat Jan 10 19:40:13 UTC 2026","Sat Jan 10 19:40:13 UTC 2026","12","tests.test_contract","test_teacher_contract","TestTeacherContract","","","test_create_group_admin",""
"passed","Sat Jan 10 19:39:51 UTC 2026","Sat Jan 10 19:39:51 UTC 2026","3","tests.test_contract","test_auth_contract","TestAuthContract","","","test_register_should_fail_when_required_field_is_missing[email]",""
"passed","Sat Jan 10 19:40:18 UTC 2026","Sat Jan 10 19:40:18 UTC 2026","165","tests","test_grade_create","TestGrade","","","test_create_grade",""
"passed","Sat Jan 10 19:40:11 UTC 2026","Sat Jan 10 19:40:11 UTC 2026","112","tests.test_contract","test_student_contract","TestStudentContract","","","test_get_student_admin",""
"passed","Sat Jan 10 19:40:06 UTC 2026","Sat Jan 10 19:40:06 UTC 2026","65","tests.test_contract","test_group_contract","TestGroupContract","","","test_update_group_admin",""
"passed","Sat Jan 10 19:40:14 UTC 2026","Sat Jan 10 19:40:14 UTC 2026","11","tests.test_contract","test_teacher_contract","TestTeacherContract","","","test_get_all_teacher_admin",""
"passed","Sat Jan 10 19:39:59 UTC 2026","Sat Jan 10 19:39:59 UTC 2026","264","tests.test_contract","test_grade_contract","TestGradeContract","","","test_update_grade_fails_on_grade_not_exists",""
"passed","Sat Jan 10 19:40:03 UTC 2026","Sat Jan 10 19:40:03 UTC 2026","11","tests.test_contract","test_group_contract","TestGroupContract","","","test_get_all_groups_admin",""
"passed","Sat Jan 10 19:40:00 UTC 2026","Sat Jan 10 19:40:00 UTC 2026","216","tests.test_contract","test_grade_contract","TestGradeContract","","","test_get_grade_admin",""
"passed","Sat Jan 10 19:39:49 UTC 2026","Sat Jan 10 19:39:50 UTC 2026","646","tests","test_auth","TestAuth","","","test_complete_user_lifecycle_registration_login_get_user_info",""
"passed","Sat Jan 10 19:40:03 UTC 2026","Sat Jan 10 19:40:03 UTC 2026","2","tests.test_contract","test_group_contract","TestGroupContract","","","test_delete_group_anonym",""
"passed","Sat Jan 10 19:39:59 UTC 2026","Sat Jan 10 19:39:59 UTC 2026","3","tests.test_contract","test_grade_contract","TestGradeContract","","","test_get_grade_anonym",""
"passed","Sat Jan 10 19:40:25 UTC 2026","Sat Jan 10 19:40:25 UTC 2026","9","tests","test_teacher_create","TestTeacher","","","test_create_teacher_missing_required_field_validation[subject]",""
"passed","Sat Jan 10 19:40:02 UTC 2026","Sat Jan 10 19:40:02 UTC 2026","2","tests.test_contract","test_group_contract","TestGroupContract","","","test_get_all_groups_anonym",""
"passed","Sat Jan 10 19:39:55 UTC 2026","Sat Jan 10 19:39:55 UTC 2026","216","tests.test_contract","test_grade_contract","TestGradeContract","","","test_create_grade_fails_on_teacher_not_found",""
"passed","Sat Jan 10 19:40:07 UTC 2026","Sat Jan 10 19:40:07 UTC 2026","2","tests.test_contract","test_student_contract","TestStudentContract","","","test_create_student_anonym",""
"passed","Sat Jan 10 19:39:52 UTC 2026","Sat Jan 10 19:39:52 UTC 2026","305","tests.test_contract","test_auth_contract","TestAuthContract","","","test_login_invalid_username",""
"passed","Sat Jan 10 19:40:12 UTC 2026","Sat Jan 10 19:40:12 UTC 2026","168","tests.test_contract","test_student_contract","TestStudentContract","","","test_update_student_admin",""
"passed","Sat Jan 10 19:40:16 UTC 2026","Sat Jan 10 19:40:16 UTC 2026","62","tests.test_contract","test_teacher_contract","TestTeacherContract","","","test_update_teacher_subject_successfully",""
"passed","Sat Jan 10 19:40:00 UTC 2026","Sat Jan 10 19:40:01 UTC 2026","217","tests.test_contract","test_grade_contract","TestGradeContract","","","test_get_stats_admin",""
"passed","Sat Jan 10 19:39:52 UTC 2026","Sat Jan 10 19:39:52 UTC 2026","559","tests.test_contract","test_auth_contract","TestAuthContract","","","test_login_invalid_password",""
"passed","Sat Jan 10 19:40:02 UTC 2026","Sat Jan 10 19:40:02 UTC 2026","60","tests.test_contract","test_group_contract","TestGroupContract","","","test_create_group_fails_if_already_exists",""
"passed","Sat Jan 10 19:40:08 UTC 2026","Sat Jan 10 19:40:08 UTC 2026","63","tests.test_contract","test_student_contract","TestStudentContract","","","test_create_student_admin",""
"passed","Sat Jan 10 19:40:20 UTC 2026","Sat Jan 10 19:40:20 UTC 2026","50","tests","test_grade_create","TestGrade","","","test_statistics_min_grade",""
"passed","Sat Jan 10 19:39:50 UTC 2026","Sat Jan 10 19:39:51 UTC 2026","305","tests.test_contract","test_auth_contract","TestAuthContract","","","test_register_existing_name",""
"passed","Sat Jan 10 19:40:10 UTC 2026","Sat Jan 10 19:40:11 UTC 2026","163","tests.test_contract","test_student_contract","TestStudentContract","","","test_delete_student_fails_on_student_not_found",""
"passed","Sat Jan 10 19:39:51 UTC 2026","Sat Jan 10 19:39:52 UTC 2026","597","tests.test_contract","test_auth_contract","TestAuthContract","","","test_login_valid_data",""
"passed","Sat Jan 10 19:40:21 UTC 2026","Sat Jan 10 19:40:21 UTC 2026","51","tests","test_grade_create","TestGrade","","","test_statistics_max_grade",""
"passed","Sat Jan 10 19:40:04 UTC 2026","Sat Jan 10 19:40:04 UTC 2026","111","tests.test_contract","test_group_contract","TestGroupContract","","","test_delete_group_fails_on_group_not_exists",""
"passed","Sat Jan 10 19:39:51 UTC 2026","Sat Jan 10 19:39:51 UTC 2026","4","tests.test_contract","test_auth_contract","TestAuthContract","","","test_register_invalid_email",""
